Air Conditioning
Air conditioning
Air-conditioning
Airport pickup
Balcony
Balcony / Terrace
Bathtub
Breakfast
Breakfast available
Cable TV
Car & Bikes hire assistance
Car Parking
Car hire on request
Child friendly
Children's playground
Childrens play area
Childrens playground
Clothes Rack
Coffee Maker
Cooking Facility
Cooking Stove
Credit Cards Accepted
Crockery & Cutlery
Dining
Disabled Friendly
Doctor on call
Driver Accommodation
Dryer
Ensuite Toilet
Essentials
Family/Kid Friendly
Fire Extinguisher
Fire Safety
First Aid Kit
Free Parking on Premises
Free Wi-Fi High Speed Internet
Fully loaded kitchen
Garden
Gated complex
Geysers
Hair Dryer
Heating
Hot Tub
Hot Water
Hot water
Hot/Cold Running Water
Internet
Internet Access
Internet access
Kitchen
LCD Satelite TV
Laundry
Laundry Facilities
Laundry Facilitiy
Laundry facilities
Living Room
Meals available
Meals on request
Meals on requet
Microwave
Mini Bar/ Refrigerator
Mini Fridge
Other Meals Served
Parking
Pet Friendly
Pets Allowed
Pets live on this property
Pool
Power Backup
Power backup
Private Balcony
Private balcony
Private balcony or veranda
Private swimming pool
Recreation
Refrigerator
Room Heater
Room Service
Safety Card
Satelite TV
Satellite TV
Satelltie TV
Shampoo
Smoke Detector
Smoking Allowed
Suitable for Events
Swimming Pool
Swimming pool
TV
TV in property
Tea & Coffee Maker
Telephone
Telephone in property
Television
Toiletries
Towel & Toileteries
Towels and sheets are provided
Towels and sheets provided
Transfer on request
Travel Desk
Veranda
Washer
Wheelchair Accessible
Wireless Internet
