,price,amenities,homestay_name,region,area
62,12000,"['', 'Safe/Locker available', 'Swimming Pool', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",CD Zen Garden 3BHK Villa,south goa, benaulim
63,2800,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water']",Vaz Residency,south goa, benaulim
64,1500,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water']",Golden Sands 1 BHK Apartment T2,south goa, benaulim
65,5499,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Washer', 'Suitable for Events']",Florida Gardens 4 BHK Villa,south goa, benaulim
66,7000,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Washer', 'Suitable for Events']",Benaulim House 6 BHK Villa,south goa,
67,2499,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Washer']",Costa Holidays 2 BHK Apartment AF3,south goa, varca
68,3600,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water']",Costa Holidays 3 BHK Villa D7,south goa, varca
69,3600,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Suitable for Events']",Costa Holidays 3 BHK Villa D9,south goa, varca
70,6000,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Suitable for Events']",Serenity 4 BHK Villa C18,south goa, varca
71,9000,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water']",Serenity 3 BHK Villa C6,south goa, varca
72,9000,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Suitable for Events']",Serenity 3 BHK Villa C5,south goa, varca
73,6500,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water']",Serenity 2 BHK Apartment D7,south goa, varca
74,6500,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water']",Serenity 2 BHK Apartment D5,south goa, varca
75,6500,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Suitable for Events']",Serenity 2 BHK Apartment D4,south goa, varca
76,2999,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Suitable for Events']",Costa Holidays 3 BHK Villa C4,south goa, varca
77,6500,"['', 'Swimming Pool', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Suitable for Events']",Serenity 2 BHK Apartment D3,south goa, varca
