,amenities,area,homestay_name,place,price,region
15,"['Double Bed', 'Ensuite Toilet', 'Towel & Toileteries', 'Hot Water', 'Air Conditioning', 'Television', 'Internet Access', 'Laundry', 'Internet Access', 'TV in property', 'Swimming Pool', 'Telephone in property', 'Cooking Facility', 'Car Parking']",unknown,Pleasant view from the top of the peninsula New,goa,"3,000",unknown
16,"['Double Bed', 'Extra Bed', 'Ensuite Toilet', 'Towel & Toileteries', 'Hot Water', 'Air Conditioning', 'Television', 'Telephone', 'Mini Fridge', 'Tea & Coffee Maker', 'Internet Access', 'Universal Adaptor', 'Travel Desk', 'Laundry', 'Internet Access', 'Doctor on call', 'TV in property', 'Telephone in property', 'Power Backup', 'Other Meals Served', 'Car Parking']",unknown,A place of blissful and eternal peace New,goa,"2,500",unknown
17,"['Double Bed', 'Twin Bed', 'Extra Bed', 'Ensuite Toilet', 'Hot Water', 'Television', 'Mini Fridge', 'Other Meals Served', 'Car Parking']",candolim,Homestay near Candolim beach New,goa,"3,000",north goa
18,"['Double Bed', 'Twin Bed', 'Ensuite Toilet', 'Towel & Toileteries', 'Hot Water', 'Air Conditioning', 'Television', 'Tea & Coffee Maker', 'Laundry', 'Internet Access', 'TV in property', 'Cooking Facility', 'Power Backup', 'Other Meals Served', 'Car Parking']",unknown,Spiritual Villa in Goa New,goa,"30,000",unknown
0,"['Car Parking', 'Balcony ', 'Restaurants & Bars nearby', 'Free Wi-Fi High Speed Internet ', 'LCD Satelite TV', 'Child friendly', 'Ceiling Fans', 'Doctor on call ', 'Air-conditioning', 'Mini Bar/ Refrigerator', 'Hot/Cold Running Water', 'Airport pickup', 'Towels and sheets are provided', 'Car & Bikes hire assistance', 'Garden', 'Laundry Facilitiy', 'Credit Cards Accepted']",candolim ,5 Bedroom Colonial Villa near the Candolim Beach, goa,4000, north goa 
2,"['Salim Ali Bird Sanctuary', 'Dolphin cruise', 'Basilica of Bom Jesus', 'Hot/Cold Running Water', 'Colva Beach', 'Doctor on call', 'Private balcony or veranda', 'Internet access', 'Balcony ', 'Childrens playground', 'Satelltie TV', 'Laundry facilities', 'Benaulim Beach', 'Arrosim Beach', 'Air-conditioning', 'Panjim', 'Towels and sheets provided', 'Refrigerator', 'Water sports', 'Garden', 'Car hire on request', 'Cavalessim Beach', 'Parking']",arrosim ,4 Bedroom Luxurious Homestay in Arossim - South Goa, goa,2400, south goa 
4,"['Balcony / Terrace', 'Private swimming pool', 'Ceiling Fan', 'Satelite TV', 'Hot/Cold Running Water', 'Towels and sheets are provided', 'Meals available', 'Private balcony or veranda', 'Arpora Beach', 'Aguada Fort', 'Internet access', 'Transfer on request', 'Childrens playground', 'Chapora Fort', 'Calangute Beach', 'Laundry Facilities', 'Living Room', 'Air-conditioning', 'Late Night Check in', 'Breakfast available', 'Refrigerator', 'Garden', 'Car hire on request', 'Anjuná Beach & market', 'Credit Cards Accepted', 'Parking']",candolim ,3 Bedroom Boutique Cottage in Candolim - North Goa, goa,107800, north goa 
5,"['Salim Ali Bird Sanctuary', 'Balcony / Terrace', 'Dolphin cruise', 'Satellite TV', 'Vagator Beach', 'Hot/Cold Running Water', 'Doctor on call', 'Towels and sheets are provided', 'Internet access', 'Basillica of Bom Jeus', 'Childrens playground', 'Calangute Beach', 'Baga Beach', 'Living Room', 'Air-conditioning', 'Meals on request ', 'Anjuna Beach', 'Panjim', 'Late Night Check in', 'Refrigerator', 'Garden', 'Car hire on request', ""Tito's & Club Cabana "", 'Parking']",candolim ,"Peaceful Guesthouse in Candolim, North Goa", goa,2220, north goa 
6,"['Salim Ali Bird Sanctuary', 'Satellite TV', 'Basilica of Bom Jesus', ""Tito's & Club Cabana"", 'Vagator Beach', 'Hot/Cold Running Water', 'Doctor on call', 'Towels and sheets are provided', 'Internet access', 'Calangute Beach', 'Living Room', 'Air-conditioning', 'Anjuna Beach', 'Panjim', 'Meals on requet ', 'Refrigerator', 'Water sports', 'Garden', 'Car hire on request', 'Baga Beach', 'Parking']",candolim ,Charming Guesthouse in Candolim - North Goa, goa,4500, north goa 
7,"['Salim Ali Bird Sanctuary', 'Basilica of Bom Jesus', 'Sinquerim Beach', ""Tito's & Club Cabana"", 'Vagator Beach', 'Ceiling Fan', 'Satelite TV', 'Hot/Cold Running Water', 'Towels and sheets are provided', 'Meals available', 'Calangute beach', 'Internet access', 'Private balcony ', 'Laundry Facilities', 'Air-conditioning', 'Anjuna Beach', 'Breakfast available', 'Panjim', 'Late Night Check in', 'Water sports', 'Garden', 'Car hire on request', 'Credit Cards Accepted', 'Baga Beach', 'Parking']",sinquerim beach ,Six Bedroom Exotic Guesthouse in North Goa near Sinquerim beach, goa,4000, north goa 
8,"['Balcony / Terrace', 'Indigoa Boat Adventures', 'Britos Restaurant', 'Self catering', 'Medicinal Springs', 'Atlantis Watersports', 'Ceiling Fan', 'Satelite TV', 'Hot/Cold Running Water', 'Towels and sheets are provided', 'Cocktails and Dreams Bar', 'Private balcony or veranda', 'Internet access', 'Swimming Pool', 'Transfer on request', 'Childrens playground', 'Baga Retreat House', 'Church of St Alex', 'Laundry Facilities', 'Living Room', 'Air-conditioning', 'Late Night Check in', 'Casino Palms', 'Refrigerator', 'Garden', 'Baga Beach', 'Parking']",calangute ,Three Bedroom Villa in Arpora - North Goa, goa,6600, north goa 
10,"['Childrens play area', ' Chapora Fort', 'Ceiling Fan', 'Satelite TV', 'Hot/Cold Running Water', 'Towels and sheets are provided', 'Fully loaded kitchen', 'Arpora Beach', 'Aguada Fort', 'Internet access', 'Calangute Beach', 'Laundry Facilities', 'Living Room', 'Veranda', 'Air-conditioning', 'Anjun Beach & market', 'Refrigerator', 'Garden', 'Car hire on request', 'Parking']",bardez ,Three Bedroom Goan Villa in Tivim - North Goa, goa,120006, north goa 
11,"['Indigoa Boat Adventures', 'Medicinal Springs', 'Atlantis Watersports', 'Microwave', 'Ceiling Fan', 'Satelite TV', 'Hot/Cold Running Water', 'Colva Beach', 'Towels and sheets are provided', 'Cocktails and Dreams Bar', 'Private balcony or veranda', 'Internet access', 'Transfer on request', 'Childrens playground', 'Baga Retreat House', 'Church of St Alex', 'Britos Chapel Restaurant', 'Laundry Facilities', 'Living Room', 'Air-conditioning', 'Late Night Check in', 'Breakfast available', 'Casino Palms', 'Refrigerator', 'Garden', 'Swimming pool', 'Kerkar Art Gallery', 'Baga Beach', 'Parking']", calangute ,Pool View One Bedroom Studio Apartment in Arpora - North Goa, goa,3850, north goa 
12,"['Salim Ali Bird Sanctuary', 'Satellite TV', 'Basilica of Bom Jesus', 'Margao', 'Vagator Beach', 'Meals on request', 'Hot/Cold Running Water', 'Doctor on call', 'Private Balcony', 'Calangute Beach', 'Air-conditioning', 'Towels and sheets provided', 'Anjuna Beach', 'Panjim', 'Refrigerator', 'Water sports', 'Baga Beach', 'Parking']",calangute ,Studio Apartments in Calangute - North Goa, goa,1950, north goa 
13,"['Satellite TV', 'Basilica of Bom Jesus', 'Palolim Beach', 'Gated complex', ""Children's playground"", 'Hot/Cold Running Water', 'Colva Beach', 'Towels and sheets are provided ', 'Restaurants nearby', 'Private Balcony', 'Market at walking distance', 'Living Room', 'Benaulim Beach', 'Air-conditioning', 'Panjim', 'Refrigerator', 'Cavalessim Beach', 'Parking']",colva ,2 Bedroom Air-Conditioned Apartment near Colva Beach - Goa, goa,3500, south goa 
14,"['Salim Ali Bird Sanctuary', 'Balcony / Terrace', ""Tito's & Club Cabana"", 'Geysers', 'Vagator Beach', 'Ceiling Fan', 'Satelite TV', 'Hot/Cold Running Water', 'Candolim Beach', 'Towels and sheets are provided', 'Transfer on request', 'Basillica of Bom Jeus', 'Private balcony ', 'Dolphin cruise ', 'Calangute Beach', 'Crockery & Cutlery', 'Anjuna Beach', 'Late Night Check in', 'Refrigerator', 'Garden', 'Cooking Stove', 'Restaurants closeby', 'Baga Beach', 'Parking']",candolim ,Amazing Studio Apartments near Candolim Beach Goa, goa,2000, north goa 
0,"['Essentials', 'TV', 'Air Conditioning', 'Kitchen', 'Internet', 'Pool', 'Breakfast', 'Free Parking on Premises', 'Family/Kid Friendly', 'Smoking Allowed', 'Suitable for Events', 'Wheelchair Accessible', '', '', '', 'Smoke Detector', 'First Aid Kit', 'Fire Extinguisher']",candolim,Venus Villa on Candolim, Goa ,38662,north goa
